,close,returns,vol,vol_lag_1,vol_lag_2,vol_lag_3,vol_lag_5,vol_lag_10,vol_lag_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,vol_roll_mean_5,vol_roll_std_5,vol_roll_mean_10,vol_roll_std_10,vol_roll_mean_20,vol_roll_std_20,vol_roll_mean_60,vol_roll_std_60,rsi_14,volume_zscore,day_of_week,month,quarter,week_of_month,target
2019-05-03,1776.5438232421875,-0.0376455315570559,0.3194175546179471,0.2844617336450804,0.2707567419022219,0.2753546145899941,0.2773222557809714,0.2918549686155424,0.2010819001550715,-0.0198864000922902,0.0097381129135782,0.0198408942958445,0.0131786251330741,0.27588824515898636,0.005500779826274357,0.27829342217909303,0.006136002022305494,0.2443280130017583,0.039144009487933305,0.23442065802615034,0.03937399509779862,68.02029271056023,0.18757983428863723,4,5,2,1,0.3120569657322721
2019-05-06,1798.084228515625,0.0121248938481721,0.3120569657322721,0.3194175546179471,0.2844617336450804,0.2707567419022219,0.2715458798766639,0.2797018492585788,0.1697584738319149,-0.0376455315570559,-0.0198864000922902,0.0097381129135782,0.0052895540917776,0.28430730492638145,0.02036771878158994,0.28104968077933346,0.014024438193327148,0.2502447957249021,0.041154946447579714,0.23616394380065528,0.040781837479730965,54.364194096924706,-0.4225996716466095,0,5,2,1,0.3124446674539951
2019-05-07,1793.1676025390625,-0.0027343691127424,0.3124446674539951,0.3120569657322721,0.3194175546179471,0.2844617336450804,0.2753546145899941,0.2775225936644271,0.1694065614911307,0.0121248938481721,-0.0376455315570559,-0.0198864000922902,0.0198408942958445,0.29240952209750304,0.022013268519043522,0.2842851924267028,0.01707862053331218,0.25735972031991994,0.038737385746006034,0.23782102416067274,0.0418163028965501,63.40623844557568,-0.8280252254859588,1,5,2,1,0.2872052651014765
2019-05-08,1793.9180908203125,0.0004185265672809,0.2872052651014765,0.3124446674539951,0.3120569657322721,0.3194175546179471,0.2707567419022219,0.2773501023775078,0.206020069853945,-0.0027343691127424,0.0121248938481721,-0.0376455315570559,0.0097381129135782,0.29982753267030327,0.021057888893721285,0.28777739980565953,0.019004039576143383,0.2645116256180632,0.034630921913646064,0.23949101181455054,0.04276756900754082,65.62816106378375,-1.026932055651939,2,5,2,2,0.2837770980151254
2019-05-09,1810.333740234375,0.0091507240481398,0.2837770980151254,0.2872052651014765,0.3124446674539951,0.3120569657322721,0.2844617336450804,0.277063482079942,0.2131631768737979,0.0004185265672809,-0.0027343691127424,0.0121248938481721,-0.0198864000922902,0.3031172373101542,0.016076681235965996,0.28876291607805643,0.018655556411302524,0.26857088538043977,0.03207794920610465,0.24086257297375033,0.04295896262255573,66.48395552516189,-0.6647351444240325,3,5,2,2,0.2907032785432655
2019-05-10,1779.7110595703125,-0.0169154891076039,0.2907032785432655,0.2837770980151254,0.2872052651014765,0.3124446674539951,0.3194175546179471,0.2773222557809714,0.2150754707700959,0.0091507240481398,0.0004185265672809,-0.0027343691127424,-0.0376455315570559,0.3029803101841632,0.01627696335327798,0.28943427767157476,0.018305258586068518,0.2721015814375062,0.02943574637454635,0.242185560395575,0.04303916990074364,58.69923658342801,-0.7662740280974645,4,5,2,2,0.2894936319388366
2019-05-13,1773.8359375,-0.003301166241969,0.2894936319388366,0.2907032785432655,0.2837770980151254,0.2872052651014765,0.3120569657322721,0.2715458798766639,0.2169536025676437,-0.0169154891076039,0.0091507240481398,0.0004185265672809,0.0121248938481721,0.29723745496922693,0.013922991015339193,0.2907723799478042,0.017803702920219565,0.2758829718261646,0.02642852097723581,0.2436205099914027,0.04319998080483509,50.55749651016044,-0.9619966566262454,0,5,2,2,0.2819218647504579
2019-05-14,1743.5050048828125,-0.0170990630959564,0.2819218647504579,0.2894936319388366,0.2907032785432655,0.2837770980151254,0.3124446674539951,0.2753546145899941,0.2356097418060092,-0.003301166241969,-0.0169154891076039,0.0091507240481398,-0.0027343691127424,0.2927247882105398,0.011334976893978027,0.2925671551540215,0.016507611880985467,0.27950997329472427,0.022618511764384685,0.24501230606565763,0.04331199649302954,46.93620127393474,-0.46948651216634535,1,5,2,2,0.2785883898986677
2019-05-15,1746.0460205078125,0.0014574180274125,0.2785883898986677,0.2819218647504579,0.2894936319388366,0.2907032785432655,0.2872052651014765,0.2707567419022219,0.2387194248158143,-0.0170990630959564,-0.003301166241969,-0.0169154891076039,0.0004185265672809,0.28662022766983236,0.003722500022840476,0.29322388017006784,0.015864877447298406,0.2818255794419467,0.020120283917279696,0.24628658825472494,0.0432534326069464,40.72739639584738,-0.5058535044417654,2,5,2,3,0.278476427755053
2019-05-16,1757.1702880859375,0.006371119344775,0.278476427755053,0.2785883898986677,0.2819218647504579,0.2894936319388366,0.2837770980151254,0.2844617336450804,0.2378376160788138,0.0014574180274125,-0.0170990630959564,-0.003301166241969,0.0091507240481398,0.28489685262927067,0.005117276307126621,0.2940070449697124,0.014789413744912624,0.28381902769608935,0.017418309761456738,0.24786867567079193,0.04265594265936685,41.922851089828534,-0.7048338667744685,3,5,2,3,0.2184417548064528
